num_trees15,min_distance_park,num_build50,mean_fa_ratio,Sensor.ID,Latitude,Longitude
1,342.55129146563706,19,1.213484222273485,Bk-EF_35,-8232213.663433644,4524774.136492586
2,886.0738810922905,11,0.727678136694217,Bk-EF_30,-8231648.250589202,4524789.596543468
0,947.6786892385857,16,0.950669277588904,Bk-EF_22,-8231564.274504933,4524844.530485785
0,652.7168010353821,30,1.0488577730594169,Bk-EF_23,-8231875.969079153,4524848.983265417
0,321.0572775841612,24,1.2743508197129936,Bk-EF_03,-8232210.484148987,4524852.990767084
3,206.7490853231064,13,0.7922303049621445,Bk-EF_05,-8232324.023350425,4524868.830417429
3,841.7499168405194,11,1.0035043468389035,Bk-EF_19,-8231573.379326084,4524951.28921704
1,908.5757794689058,3,0.5229949588544176,Bk-EF_21,-8231344.809242028,4524969.061373745
0,535.8945605588829,15,0.9463275043226516,Bk-EF_26,-8231992.07530805,4524973.327136632
2,842.2201970867316,1,0.0949351992839432,Bk-EF_24,-8231472.453736145,4524982.915084374
2,800.8196551889317,11,1.0267551646599342,Bk-EF_19,-8231577.775332774,4524992.402844574
0,288.69169760891646,12,0.7496373341821297,Bk-EF_18,-8232245.772427567,4525013.847431281
1,730.7443400659253,17,0.8134962787664254,Bk-EF_27,-8231799.818755085,4525013.952071602
0,747.4984943992285,21,0.9800113634743203,Bk-EF_31,-8231631.066199408,4525034.88681504
0,208.52659519032616,8,,Bk-EF_08,-8232344.7354548825,4525052.697933568
2,541.4813751270997,23,1.1519307966910484,Bk-EF_13,-8232000.535589351,4525075.518429181
1,645.101939529557,21,0.7964219122281294,Bk-EF_29,-8231898.637067063,4525094.735512876
3,646.0622668976614,31,1.0315866809512373,Bk-EF_15,-8231810.934006242,4525119.560872518
1,704.2210927032851,24,1.1633296181135906,Bk-EF_20,-8231474.259338287,4525132.385991052
0,629.3752473886913,18,0.8177439248225571,Bk-EF_28,-8231686.725944803,4525145.093110926
1,611.297168394929,27,1.0600585349181304,Bk-EF_25,-8231584.602557145,4525187.8720780425
1,414.5864188747302,16,0.6209807702846668,Bk-EF_34,-8232217.163318435,4525227.580853604
1,560.1193110273591,16,0.8721257173796522,Bk-EF_16,-8231995.902472143,4525235.404387416
0,681.0941702312629,9,0.906848673159465,Bk-EF_01,-8231330.503574264,4525254.186211904
1,561.9281394512782,18,0.7043080687678479,Bk-EF_02,-8231537.857276571,4525259.706545453
1,481.15151680741695,25,0.8217981937578159,Bk-EF_04,-8231812.483573552,4525284.4651134
2,454.6266728001711,22,0.8042127498182322,Bk-EF_06,-8231828.97221653,4525311.187357164
3,429.59362023794944,13,0.9840897220755705,Bk-EF_32,-8232300.47593854,4525317.656132774
2,462.0947217794221,10,0.6997587456922952,Bk-EF_17,-8231981.062470826,4525334.268340385
1,467.9512722770967,21,1.0250776387685556,Bk-EF_07,-8231601.566534347,4525334.336245274
0,384.0199057295986,17,0.8719765792172942,Bk-EF_11,-8231731.253741121,4525386.656405947
1,450.4144075610145,28,1.0177171785825159,Bk-EF_33,-8231508.6147595355,4525406.6939142905
3,493.193877068641,2,0.3841719024014285,Bk-EF_36,-8232229.201408168,4525430.27583522
1,499.61183088369205,1,0.24237586111026818,Bk-EF_14,-8232211.708663385,4525433.29927259
2,382.2376561080686,10,0.9316491828825813,Bk-EF_09,-8231568.076065542,4525448.259498958
1,509.3243342903501,22,1.0464879627648773,Bk-EF_10,-8231263.345638666,4525484.801235005
0,508.1645963202189,23,1.0515838226387095,Bk-EF_12,-8231247.904512097,4525488.179781551
1,373.79862696781487,15,0.6201517198093736,Bk-BR_23,-8228280.349526529,4526118.02546046
2,218.51202736769463,14,0.747443385932734,Bk-BR_05,-8227809.596097889,4526139.460028411
1,378.03115676937637,18,0.6566457223166944,Bk-BR_28,-8228372.410745415,4526175.1323592365
3,42.92844091050002,13,0.8630656156062764,Bk-BR_13,-8227621.359291738,4526186.427947967
3,248.5735901665411,25,0.9191307437354724,Bk-BR_31,-8227860.982288035,4526205.12962242
1,37.24203992698821,2,0.6168822453261398,Bk-BR_12,-8227423.189447421,4526257.174823951
2,197.48378916848526,8,1.1097076379796258,Bk-BR_03,-8228167.830011627,4526263.624675247
2,136.1016048581094,19,0.6452592058230752,Bk-BR_30,-8228089.25514905,4526321.403943749
3,324.66414284612694,23,0.8814088878911615,Bk-BR_25,-8228419.832848493,4526335.209786997
1,133.8379369945908,12,0.8612462700322779,Bk-BR_06,-8227623.5645308485,4526347.343611494
3,77.41698521608706,23,0.9240519441787344,Bk-BR_11,-8227781.526888285,4526393.318561191
3,58.22714269492409,11,0.8105308631832503,Bk-BR_15,-8227591.64255367,4526429.544149885
1,202.07533367175773,20,1.264702194495023,Bk-BR_21,-8228559.984087403,4526460.889492103
2,129.13016296904874,25,1.2792989389559875,Bk-BR_22,-8228266.511400631,4526515.109876484
0,95.99169312543646,12,0.8157852424514852,Bk-BR_27,-8228647.703846147,4526549.945084737
0,201.9329226290654,1,0.04311719088211788,NYCHA-BR_10,-8227416.956669132,4526556.917024446
0,165.62313836843535,1,0.5328938590863924,NYCHA-BR_02,-8227460.065141942,4526557.964540854
2,152.55073723081418,12,1.1641104137115497,Bk-BR_08,-8228466.269774078,4526574.1247913325
1,5.389516539165053,10,1.2047195882552966,Bk-BR_18,-8227850.767611559,4526585.456002301
0,149.40547683879223,0,0.0,NYCHA-BR_11,-8227310.251371232,4526609.847215928
1,19.185317004553657,15,,Bk-BR_04,-8228124.502239419,4526627.868728292
0,193.33993965421593,1,0.6783870448155962,NYCHA-BR_15,-8227350.1393711725,4526628.279497214
0,136.26421046854108,1,0.7711495436116602,NYCHA-BR_07,-8227282.744325057,4526631.181596338
0,77.5152238622114,2,0.6111053803949631,NYCHA-BR_04,-8227211.178137622,4526631.988662646
0,83.4667981864493,1,0.7711495436116602,NYCHA-BR_06,-8227218.829126224,4526632.782370617
1,1.531534040857765,6,1.037607981048068,Bk-BR_02,-8227963.474143208,4526633.886659965
0,104.64781865553154,24,1.4309345463998497,Bk-BR_20,-8228280.349526529,4526659.038185715
0,158.8051960368614,2,0.5909506153007399,NYCHA-BR_09,-8227460.32562955,4526663.961846792
0,119.4016650805987,1,0.7711495436116602,NYCHA-BR_14,-8227229.410043823,4526671.224330372
0,150.07798161898387,1,0.709714728857475,NYCHA-BR_08,-8227435.170764216,4526678.730603636
0,122.4540762490448,2,0.48016582501458493,NYCHA-BR_05,-8227183.502999015,4526695.13241741
0,140.5352896355896,1,0.8195008225472039,NYCHA-BR_13,-8227214.704739089,4526704.022391944
3,108.39609517340482,24,0.9083783368270453,Bk-BR_32,-8228189.827856203,4526713.763960583
3,45.223998749233836,23,1.286143257026326,Bk-BR_24,-8228321.301740804,4526729.306387888
2,18.541262674557373,4,0.9645098883195353,Bk-BR_17,-8227761.063026293,4526733.006647762
0,183.02632085868004,1,0.8195008225472039,NYCHA-BR_03,-8227226.918713619,4526744.979058998
0,129.27212540195023,0,0.0,NYCHA-BR_01,-8227141.96301783,4526756.595247861
3,165.64312146577873,26,1.0039141098694895,Bk-BR_29,-8228558.6482535135,4526823.791032088
0,66.3182378226616,17,1.1854002331162987,Bk-BR_09,-8227957.523003229,4526829.357006628
1,98.50544211581895,23,0.9546278770131721,Bk-BR_10,-8228224.689781134,4526832.696591352
0,96.2552439175879,10,0.7223324484552684,Bk-BR_07,-8227645.828429009,4526863.866048774
5,52.14255371093537,23,1.0085337768919544,Bk-BR_26,-8228137.592298343,4526869.053537046
1,62.684676199020366,19,1.3857283144680035,Bk-BR_33,-8227912.995206911,4526879.450777486
1,61.44668413157911,19,0.9697618053590913,Bk-BR_35,-8228235.823956602,4526894.694868554
2,82.47799749012337,8,1.4026068193172412,Bk-BR_16,-8227808.243566076,4526916.742806901
2,67.77623832282183,15,1.882184872860581,Bk-BR_01,-8228392.821174053,4526941.242000435
1,100.82689474914989,23,1.3016265790760924,Bk-BR_34,-8227923.741990553,4526945.54115917
3,44.36577089451265,13,0.9172540045082093,Bk-EN_26,-8225562.477479642,4526972.644115593
2,16.05638746586244,9,0.8758477160697891,Bk-EN_19,-8225447.9364027865,4527011.587013057
2,46.60200965197967,14,1.0461856574570179,Bk-EN_03,-8225902.073171036,4527046.545785946
1,246.21674052832483,1,0.08978946423627479,Bk-EN_08,-8226141.610451326,4527055.097349228
